item_id,weight,volume,profit
i1,12,69,216
i2,22,31,450
i3,90,8,481
i4,99,94,73
i5,4,61,491
i6,12,66,13
i7,4,77,27
i8,95,68,98
i9,7,45,248
i10,10,52,225
i11,88,8,207
i12,15,89,107
i13,84,71,60
i14,71,14,367
i15,13,29,140
i16,55,64,156
i17,28,85,312
i18,39,37,55
i19,18,97,451
i20,62,41,429
i21,75,89,28
i22,100,64,485
i23,100,59,184
i24,66,78,448
i25,48,9,83
i26,17,79,475
i27,6,7,72
i28,87,66,205
i29,47,95,149
i30,16,71,420
i31,60,41,102
i32,41,75,469
i33,26,77,404
i34,46,77,397
i35,50,26,55
i36,1,8,132
i37,36,14,452
i38,30,45,197
i39,2,2,417
i40,84,42,291
