text,label
SUS amplia cobertura de medicamentos para doenças raras.,saude
Técnico da seleção anuncia convocação para os próximos jogos.,esportes
Banda de rock nacional faz turnê pelos principais festivais do país.,cultura
Programa de bolsas estudantis beneficia milhares de jovens brasileiros.,educacao
Cidade brasileira implementa sistema de reciclagem 100% sustentável.,meio_ambiente
Energia solar cresce 50% no Brasil e bate novo recorde de geração.,meio_ambiente
Novo tratamento para diabetes tipo 2 mostra resultados promissores.,saude
Smartphones com 5G chegam ao Brasil com preços mais acessíveis.,tecnologia
Banda de rock nacional faz turnê pelos principais festivais do país!,cultura
Bolsa de valores registra maior alta do mês com otimismo dos investidores.,economia
Seleção brasileira se prepara para as próximas eliminatórias da Copa do Mundo.,esportes
Banda de rock nacional faz turnê pelos principais festivais do país.,cultura
A inteligência artificial está revolucionando o mercado de trabalho brasileiro.,tecnologia
Dólar fecha em alta após decisão do Banco Central sobre taxa de juros.,economia
Projeto de lei propõe aumento de vagas em cursos técnicos profissionalizantes.,educacao
A inteligência artificial está revolucionando o mercado de trabalho nacional.,tecnologia
Pesquisa brasileira identifica nova proteína relacionada ao Alzheimer.,saude
Pesquisa brasileira identifica nova proteína relacionada ao Alzheimer.,saude
Governadores se reúnem para discutir políticas públicas de educação.,politica
Campanha de prevenção ao câncer de mama alcança milhões de mulheres.,saude
Hospital em São Paulo realiza primeiro transplante de coração do ano.,saude
Campeonato Brasileiro tem nova rodada com jogos decisivos para o título.,esportes
Empresas de tecnologia lideram criação de empregos no país.,economia
Congresso Nacional aprova nova lei de proteção de dados pessoais.,politica
Ministério da Saúde lança campanha nacional de vacinação.,politica
Ministério da Saúde lança campanha nacional de vacinação.,politica
Setor agrícola do Brasil bate recorde de exportações este ano.,economia
Flamengo vence clássico no Maracanã com gol nos últimos minutos.,esportes
Pesquisadores descobrem nova espécie de peixe em rio do Pantanal.,meio_ambiente
Universidade pública lança curso de inteligência artificial gratuito.,educacao
Livro de autor brasileiro ganha prêmio literário internacional.,cultura
Ministério da Saúde lança campanha nacional de vacinação!,politica
MEC anuncia investimento em laboratórios de ciências para escolas públicas!,educacao
Presidente anuncia investimentos em infraestrutura para o Nordeste.,politica
Inflação no Brasil mostra sinais de desaceleração no último trimestre.,economia
ONGs denunciam aumento do desmatamento na região amazônica.,meio_ambiente
Cidade brasileira implementa sistema de reciclagem 100% sustentável!,meio_ambiente
Bolsa de valores registra maior alta do mês com otimismo dos investidores.,economia
Museu Nacional reabre com nova exposição sobre história indígena.,cultura
Festival de cinema brasileiro premia documentário sobre Amazônia.,cultura
Dólar fecha em alta após decisão do Banco Central sobre taxa de juros!,economia
ONGs denunciam aumento do desmatamento na região amazônica.,meio_ambiente
Smartphones com 5G chegam ao Brasil com preços mais acessíveis.,tecnologia
Programa de bolsas estudantis beneficia milhares de jovens brasileiros.,educacao
Empresa brasileira desenvolve software de reconhecimento facial.,tecnologia
Hospital em São Paulo realiza primeiro transplante de coração do ano.,saude
Seleção brasileira se prepara para as próximas eliminatórias da Copa do Mundo!,esportes
Ensino híbrido ganha espaço nas instituições de ensino superior.,educacao
Setor agrícola brasileiro bate recorde de exportações este ano!,economia
Pesquisadores descobrem nova espécie de peixe em rio do Pantanal.,meio_ambiente
Projeto de lei propõe aumento de vagas em cursos técnicos profissionalizantes.,educacao
Inflação no Brasil mostra sinais de desaceleração no último trimestre!,economia
Museu Nacional reabre com atual exposição sobre história indígena.,cultura
Congresso Nacional aprova nova lei de proteção de dados pessoais.,politica
Festival de cinema brasileiro premia documentário sobre Amazônia.,cultura
Bolsa de valores registra maior alta do mês com otimismo dos investidores.,economia
Festival de cinema tupiniquim premia documentário sobre Amazônia.,cultura
Senado discute projeto de lei sobre energias renováveis.,politica
Campeonato Brasileiro tem nova rodada com jogos decisivos para o título.,esportes
